,SAR,Upper Band,Middle Band,Lower Band
0,,,,
1,6.1,,,
2,6.08,,,
3,6.0440000000000005,,,
4,5.9752,6.3163869458396,5.82,5.3236130541604005
5,5.8601600000000005,6.151825205639449,5.74,5.328174794360551
6,5.768128000000001,5.984961536185496,5.659999999999999,5.335038463814502
7,5.4,5.911293199325009,5.64,5.368706800674991
8,5.48,6.024093010681676,5.68,5.335906989318324
9,5.564,5.953238075793663,5.720000000000001,5.486761924206339
10,5.9,5.973938769133881,5.680000000000001,5.38606123086612
11,5.82,6.047083130081171,5.620000000000001,5.192916869918831
12,5.716,6.3031860898040994,5.360000000000001,4.416813910195903
13,5.4728,6.110327052820754,5.040000000000001,3.969672947179248
14,5.23824,5.810727898137969,4.780000000000002,3.7492721018620347
15,5.050592,5.31471849056448,4.560000000000002,3.805281509435525
16,4.9004736,4.543960780543545,4.340000000000002,4.136039219456459
17,4.76037888,4.469666295470691,4.320000000000002,4.170333704529313
18,4.648303104,4.499999999999815,4.340000000000002,4.180000000000188
19,4.5586424832,4.499999999999815,4.340000000000002,4.180000000000188
20,4.48691398656,4.499999999999815,4.340000000000002,4.180000000000188
21,4.2,5.005964425626873,4.500000000000002,3.994035574373131
22,4.36,5.2448199740724775,4.620000000000002,3.9951800259275267
23,4.488,5.293295878967586,4.700000000000002,4.1067041210324176
24,4.590400000000001,5.265421149026316,4.820000000000002,4.3745788509736885
25,4.672320000000001,5.099999999999727,4.940000000000002,4.780000000000277
26,4.737856000000001,5.069666295470737,4.920000000000002,4.770333704529266
27,4.7902848,5.026491106406589,4.900000000000001,4.773508893593413
28,4.83222784,4.999999999999642,4.920000000000002,4.840000000000361
29,5.0,5.0759591794225,4.880000000000002,4.684040820577503
30,4.94,5.052982212813346,4.800000000000002,4.5470177871866575
31,4.872,5.013238075793664,4.780000000000002,4.54676192420634
32,4.6,5.082842712474492,4.800000000000002,4.517157287525511
33,4.68,5.139999999999874,4.820000000000002,4.500000000000131
34,4.744,5.159332590941783,4.860000000000002,4.5606674090582215
35,4.7951999999999995,5.069666295470737,4.920000000000002,4.770333704529266
36,4.83616,5.037979589710925,4.940000000000002,4.842020410289079
37,5.0,5.0264911064064774,4.900000000000002,4.773508893593527
38,4.96,4.959999999999554,4.880000000000003,4.800000000000451
39,4.928,4.959999999999554,4.880000000000003,4.800000000000451
40,4.8,5.308711915483135,4.960000000000003,4.61128808451687
41,4.8999999999999995,5.543321838943722,5.060000000000002,4.576678161056282
42,5.0,5.590813184570705,5.160000000000002,4.729186815429299
43,5.08,5.588711915483115,5.240000000000003,4.891288084516891
44,5.144,5.426491106406422,5.3000000000000025,5.173508893593583
45,5.1952,5.426491106406422,5.3000000000000025,5.173508893593583
46,5.4,5.626476151587569,5.160000000000002,4.693523848412434
47,5.3,5.575363949068971,5.060000000000001,4.5446360509310315
48,5.18,5.443321838943721,4.960000000000002,4.476678161056283
49,5.084,5.308998886412826,4.860000000000001,4.411001113587177
50,5.0072,4.837979589711142,4.740000000000001,4.64202041028886
51,4.94576,4.837979589711142,4.740000000000001,4.64202041028886
52,4.896608,4.826491106406589,4.700000000000001,4.573508893593413
53,4.8372864,4.757979589711142,4.660000000000001,4.56202041028886
54,4.6,4.829666295470737,4.6800000000000015,4.530333704529266
55,4.6,4.8788854381998155,4.700000000000001,4.521114561800187
56,4.64,4.915959179422427,4.7200000000000015,4.524040820577576
57,4.672,4.9759591794224995,4.780000000000001,4.584040820577503
58,4.7176,4.937979589711142,4.840000000000001,4.74202041028886
59,4.75408,4.937979589711142,4.840000000000001,4.74202041028886
60,4.783264,5.029666295470879,4.880000000000001,4.730333704529123
61,4.8,5.0264911064067,4.9,4.7735088935933
62,4.84,5.0264911064067,4.9,4.7735088935933
63,4.872,5.0264911064067,4.9,4.7735088935933
64,4.8976,5.000000000000084,4.92,4.8399999999999155
65,5.0,5.019999999999992,4.86,4.700000000000009
66,4.94,4.999999999999991,4.84,4.680000000000009
67,4.7,5.0000000000001235,4.839999999999999,4.6799999999998745
68,4.74,4.96966629547102,4.819999999999999,4.670333704528979
69,4.772,4.9696662954711615,4.8199999999999985,4.670333704528836
70,4.7976,4.95797958971143,4.859999999999999,4.762020410288569
71,4.81808,4.9599999999999955,4.88,4.800000000000004
72,4.8344640000000005,5.026491106406644,4.9,4.773508893593356
73,4.8675712,5.03797958971143,4.9399999999999995,4.842020410288569
74,4.89405696,5.03797958971143,4.9399999999999995,4.842020410288569
75,4.9,5.057979589711502,4.959999999999999,4.862020410288496
76,4.9,5.1264911064067,5.0,4.8735088935933
77,4.94,5.169666295470831,5.0200000000000005,4.87033370452917
78,4.972,5.345329983228391,5.08,4.814670016771609
79,5.0376,5.3999999999999275,5.16,4.920000000000073
80,5.09008,5.3788854381998545,5.2,5.021114561800146
81,5.3,5.4132380757937835,5.18,4.946761924206216
82,5.24,5.4132380757937835,5.18,4.946761924206216
83,5.192,5.343960780543716,5.139999999999999,4.936039219456282
84,5.1536,5.226491106406755,5.099999999999999,4.973508893593243
85,5.12288,5.160000000000083,5.079999999999998,4.999999999999914
86,5.1,5.160000000000083,5.079999999999998,4.999999999999914
87,5.1,5.200000000000211,5.039999999999997,4.879999999999784
88,5.06,5.17888543820013,4.999999999999997,4.821114561799865
89,5.028,5.129666295471255,4.979999999999997,4.830333704528739
90,4.9,5.129666295471255,4.979999999999997,4.830333704528739
91,4.94,5.17888543820013,4.999999999999997,4.821114561799865
92,4.972,5.200000000000166,5.039999999999997,4.8799999999998285
93,4.9976,5.160000000000083,5.079999999999998,4.999999999999914
